IID	GrnSpk_Shenzhen_2022_Natural
WATDE0149	30.67
WATDE0150	24.67
WATDE0151	32.00
WATDE0152	28.67
WATDE0153	38.33
WATDE0154	35.67
WATDE0156	20.33
WATDE0157	33.00
WATDE0158	25.33
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	36.00
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	NA
WATDE0181	30.00
WATDE0182	17.67
WATDE0183	18.67
WATDE0184	32.00
WATDE0185	13.00
WATDE0187	NA
WATDE0188	NA
WATDE0190	33.00
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	10.33
WATDE0196	NA
WATDE0198	34.00
WATDE0199	NA
WATDE0200	NA
WATDE0202	33.33
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	34.33
WATDE0211	17.00
WATDE0212	NA
WATDE0214	NA
WATDE0215	35.33
WATDE0216	23.67
WATDE0217	39.00
WATDE0219	27.00
WATDE0220	16.67
WATDE0221	30.67
WATDE0222	32.33
WATDE0223	29.00
WATDE0224	25.00
WATDE0225	NA
WATDE0227	14.00
WATDE0228	30.67
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	28.33
WATDE0234	36.33
WATDE0235	33.67
WATDE0236	27.00
WATDE0237	25.67
WATDE0238	29.00
WATDE0239	NA
WATDE0241	NA
WATDE0242	38.33
WATDE0243	NA
WATDE0244	NA
WATDE0246	20.67
WATDE0247	36.33
WATDE0248	NA
WATDE0249	NA
WATDE0250	15.33
WATDE0252	NA
WATDE0253	27.67
WATDE0254	26.33
WATDE0255	28.33
WATDE0257	NA
WATDE0258	22.00
WATDE0259	27.00
WATDE0260	9.00
WATDE0262	NA
WATDE0263	30.00
WATDE0264	30.00
WATDE0266	NA
WATDE0268	0.00
WATDE0270	NA
WATDE0271	34.00
WATDE0272	32.67
WATDE0273	26.33
WATDE0275	23.33
WATDE0276	16.33
WATDE0277	NA
WATDE0278	31.00
WATDE0280	16.00
WATDE0281	NA
WATDE0282	NA
WATDE0284	NA
WATDE0285	20.67
WATDE0286	31.33
WATDE0287	23.67
WATDE0288	NA
WATDE0290	30.33
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	3.67
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	23.33
WATDE0305	43.67
WATDE0306	33.33
WATDE0308	NA
WATDE0310	NA
WATDE0312	21.67
WATDE0313	26.00
WATDE0315	32.33
WATDE0316	NA
WATDE0317	34.67
WATDE0318	18.00
WATDE0319	NA
WATDE0321	26.33
WATDE0323	NA
WATDE0324	1.67
WATDE0325	NA
WATDE0328	NA
WATDE0329	9.33
WATDE0331	NA
WATDE0332	27.33
WATDE0333	NA
WATDE0334	NA
WATDE0335	34.33
WATDE0336	31.00
WATDE0337	NA
WATDE0340	28.00
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	83.33
WATDE0347	NA
WATDE0348	NA
WATDE0350	23.67
WATDE0352	NA
WATDE0353	19.33
WATDE0354	21.67
WATDE0355	24.33
WATDE0356	NA
WATDE0358	NA
WATDE0359	30.00
WATDE0361	NA
WATDE0363	25.33
WATDE0365	6.67
WATDE0366	NA
WATDE0368	34.33
WATDE0369	NA
WATDE0370	22.33
WATDE0371	20.00
WATDE0372	28.00
WATDE0373	20.33
WATDE0374	22.00
WATDE0375	37.67
WATDE0377	NA
WATDE0378	NA
WATDE0379	29.67
WATDE0381	27.50
WATDE0382	23.00
WATDE0383	15.33
WATDE0385	23.00
WATDE0386	NA
WATDE0387	16.00
WATDE0389	16.33
WATDE0391	30.33
WATDE0392	NA
WATDE0394	NA
WATDE0396	36.00
WATDE0397	25.00
WATDE0399	NA
WATDE0401	32.00
WATDE0403	NA
WATDE0404	NA
WATDE0405	NA
WATDE0407	49.67
WATDE0408	7.00
WATDE0409	22.00
WATDE0410	NA
WATDE0411	NA
WATDE0412	42.67
WATDE0413	29.67
WATDE0415	23.00
WATDE0417	0.33
WATDE0419	23.33
WATDE0420	2.67
WATDE0421	18.33
WATDE0422	28.00
WATDE0423	18.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	0.33
WATDE0428	27.33
WATDE0429	12.67
WATDE0430	25.67
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	22.67
WATDE0435	19.00
WATDE0436	NA
WATDE0438	NA
WATDE0439	27.33
WATDE0440	26.00
WATDE0441	4.33
WATDE0442	15.67
WATDE0443	18.67
WATDE0444	NA
WATDE0445	24.33
WATDE0446	NA
WATDE0448	3.67
WATDE0449	21.67
WATDE0450	29.33
WATDE0451	NA
WATDE0452	33.67
WATDE0453	33.33
WATDE0454	21.33
WATDE0455	27.00
WATDE0456	53.33
WATDE0457	NA
WATDE0460	36.67
WATDE0461	NA
WATDE0462	19.33
WATDE0463	15.33
WATDE0465	21.00
WATDE0467	NA
WATDE0469	15.67
WATDE0471	32.00
WATDE0474	16.67
WATDE0477	30.33
WATDE0479	16.00
WATDE0481	47.00
WATDE0482	27.00
WATDE0484	NA
WATDE0486	2.00
WATDE0487	NA
WATDE0488	17.00
WATDE0489	15.00
WATDE0490	25.33
WATDE0492	NA
WATDE0494	NA
WATDE0496	31.00
WATDE0498	NA
WATDE0500	18.33
WATDE0501	23.67
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	30.33
WATDE0510	22.67
WATDE0511	NA
WATDE0512	30.33
WATDE0513	17.00
WATDE0515	16.67
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	36.33
WATDE0522	NA
WATDE0524	NA
WATDE0527	18.33
WATDE0529	NA
WATDE0531	20.67
WATDE0533	27.00
WATDE0534	28.00
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	30.33
WATDE0540	2.67
WATDE0541	36.00
WATDE0542	NA
WATDE0543	NA
WATDE0544	25.00
WATDE0546	NA
WATDE0547	15.33
WATDE0549	20.00
WATDE0550	15.67
WATDE0552	NA
WATDE0553	10.00
WATDE0555	16.67
WATDE0556	31.67
WATDE0557	19.00
