IID	PH_Quzhou_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	132.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	104.67
WATDE0476	140.33
WATDE0526	NA
WATDE0532	133.33
WATDE0576	109.67
WATDE0612	113.33
WATDE0061	104.00
WATDE0668	125.67
WATDE0714	100.00
WATDE0762	133.00
WATDE0801	133.33
WATDE0868	135.67
WATDE0100	136.67
WATDE1030	133.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	130.00
WATDE0002	93.00
WATDE0004	131.33
WATDE0005	114.67
WATDE0006	130.00
WATDE0007	NA
WATDE0008	122.67
WATDE0009	115.00
WATDE0011	129.00
WATDE0012	116.67
WATDE0013	135.33
WATDE0014	NA
WATDE0015	102.67
WATDE0016	125.67
WATDE0017	NA
WATDE0018	139.33
WATDE0019	NA
WATDE0020	134.67
WATDE0021	123.33
WATDE0022	NA
WATDE0023	99.33
WATDE0024	NA
WATDE0025	126.33
WATDE0026	125.33
WATDE0027	125.33
WATDE0028	111.33
WATDE0029	NA
WATDE0030	NA
WATDE0031	138.00
WATDE0032	132.67
WATDE0033	103.67
WATDE0034	128.67
WATDE0035	NA
WATDE0036	124.00
WATDE0037	124.67
WATDE0038	NA
WATDE0040	NA
WATDE0041	107.67
WATDE0042	138.00
WATDE0043	137.67
WATDE0044	NA
WATDE0045	127.33
WATDE0046	129.33
WATDE0047	136.67
WATDE0048	NA
WATDE0049	127.67
WATDE0050	NA
WATDE0051	131.33
WATDE0052	NA
WATDE0053	101.00
WATDE0054	117.00
WATDE0055	109.33
WATDE0056	108.33
WATDE0057	88.00
WATDE0058	145.33
WATDE0059	NA
WATDE0060	134.00
WATDE0062	107.00
WATDE0063	102.00
WATDE0064	112.67
WATDE0065	139.00
WATDE0066	128.00
WATDE0067	114.33
WATDE0068	130.33
WATDE0069	137.67
WATDE0070	138.00
WATDE0071	127.67
WATDE0072	117.67
WATDE0073	100.33
WATDE0074	116.83
WATDE0075	135.00
WATDE0076	135.00
WATDE0077	135.00
WATDE0078	129.67
WATDE0079	107.33
WATDE0080	110.00
WATDE0081	NA
WATDE0082	132.67
WATDE0083	124.67
WATDE0084	133.33
WATDE0085	130.33
WATDE0086	126.00
WATDE0087	130.00
WATDE0088	137.67
WATDE0089	NA
WATDE0090	118.33
WATDE0091	127.67
WATDE0092	121.67
WATDE0093	112.33
WATDE0094	108.00
WATDE0095	104.67
WATDE0096	119.33
WATDE0097	98.00
WATDE0098	109.00
WATDE0099	116.67
WATDE0101	100.67
WATDE0102	126.67
WATDE0103	134.00
WATDE0104	NA
WATDE0105	124.00
WATDE0106	146.67
WATDE0107	136.67
WATDE0108	134.33
WATDE0109	146.67
WATDE0110	142.67
WATDE0111	142.67
WATDE0112	122.67
WATDE0113	152.00
WATDE0114	136.67
WATDE0115	118.00
WATDE0116	115.33
WATDE0117	113.00
WATDE0118	98.67
WATDE0119	135.00
WATDE0120	NA
WATDE0121	129.00
WATDE0122	141.67
WATDE0123	119.33
WATDE0124	102.33
WATDE0126	113.67
WATDE0127	128.67
WATDE0129	106.00
WATDE0131	118.33
WATDE0133	121.67
