IID	SplN_Shenzhen_2022_Natural_Sterility-All
WATDE0149	3.00
WATDE0150	4.00
WATDE0151	2.33
WATDE0152	3.33
WATDE0153	3.00
WATDE0154	4.00
WATDE0156	5.67
WATDE0157	3.67
WATDE0158	6.33
WATDE0159	4.67
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	5.00
WATDE0174	3.00
WATDE0175	4.67
WATDE0176	NA
WATDE0177	8.00
WATDE0178	5.00
WATDE0180	6.00
WATDE0181	13.00
WATDE0182	3.67
WATDE0183	6.33
WATDE0184	NA
WATDE0185	2.33
WATDE0187	NA
WATDE0188	3.00
WATDE0190	9.00
WATDE0191	12.00
WATDE0192	NA
WATDE0194	NA
WATDE0195	10.00
WATDE0196	NA
WATDE0198	11.67
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	8.00
WATDE0212	NA
WATDE0214	NA
WATDE0215	4.00
WATDE0216	12.67
WATDE0217	4.67
WATDE0219	NA
WATDE0220	18.33
WATDE0221	8.67
WATDE0222	0.67
WATDE0223	3.33
WATDE0224	3.00
WATDE0225	NA
WATDE0227	7.33
WATDE0228	5.00
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	1.00
WATDE0235	5.00
WATDE0236	NA
WATDE0237	19.33
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	3.33
WATDE0246	NA
WATDE0247	6.33
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	3.33
WATDE0255	NA
WATDE0257	10.50
WATDE0258	8.67
WATDE0259	5.00
WATDE0260	3.00
WATDE0262	4.00
WATDE0263	5.33
WATDE0264	NA
WATDE0266	NA
WATDE0268	5.33
WATDE0270	NA
WATDE0271	4.67
WATDE0272	4.33
WATDE0273	5.00
WATDE0275	6.33
WATDE0276	7.00
WATDE0277	NA
WATDE0278	23.00
WATDE0280	5.33
WATDE0281	8.67
WATDE0282	NA
WATDE0284	6.67
WATDE0285	8.33
WATDE0286	5.67
WATDE0287	NA
WATDE0288	2.67
WATDE0290	5.00
WATDE0291	NA
WATDE0292	7.67
WATDE0293	NA
WATDE0294	9.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	2.67
WATDE0303	NA
WATDE0304	5.33
WATDE0305	2.67
WATDE0306	2.33
WATDE0308	NA
WATDE0310	14.00
WATDE0312	3.67
WATDE0313	3.67
WATDE0315	10.67
WATDE0316	NA
WATDE0317	11.67
WATDE0318	4.67
WATDE0319	4.50
WATDE0321	6.00
WATDE0323	NA
WATDE0324	4.00
WATDE0325	NA
WATDE0328	NA
WATDE0329	19.00
WATDE0331	NA
WATDE0332	5.67
WATDE0333	6.33
WATDE0334	NA
WATDE0335	NA
WATDE0336	5.67
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	NA
WATDE0347	NA
WATDE0348	NA
WATDE0350	5.00
WATDE0352	NA
WATDE0353	5.67
WATDE0354	11.33
WATDE0355	NA
WATDE0356	NA
WATDE0358	5.00
WATDE0359	5.00
WATDE0361	NA
WATDE0363	11.67
WATDE0365	6.00
WATDE0366	NA
WATDE0368	3.33
WATDE0369	6.67
WATDE0370	5.33
WATDE0371	3.33
WATDE0372	6.67
WATDE0373	5.33
WATDE0374	NA
WATDE0375	3.67
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	10.67
WATDE0382	23.00
WATDE0383	24.00
WATDE0385	7.67
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	3.33
WATDE0396	5.33
WATDE0397	5.33
WATDE0399	3.33
WATDE0401	3.67
WATDE0403	NA
WATDE0404	1.33
WATDE0405	NA
WATDE0407	NA
WATDE0408	4.67
WATDE0409	6.00
WATDE0410	NA
WATDE0411	5.33
WATDE0412	2.00
WATDE0413	11.67
WATDE0415	4.00
WATDE0417	19.33
WATDE0419	4.00
WATDE0420	6.67
WATDE0421	5.00
WATDE0422	4.33
WATDE0423	2.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	6.00
WATDE0428	8.67
WATDE0429	5.33
WATDE0430	21.33
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	6.00
WATDE0435	NA
WATDE0436	3.33
WATDE0438	NA
WATDE0439	16.00
WATDE0440	13.67
WATDE0441	3.67
WATDE0442	5.33
WATDE0443	6.67
WATDE0444	3.67
WATDE0445	8.67
WATDE0446	8.33
WATDE0448	6.33
WATDE0449	4.33
WATDE0450	7.67
WATDE0451	NA
WATDE0452	1.67
