IID	PH_Shenzhen-NN_2021_Natural
WATDE0150	NA
WATDE0151	131.71
WATDE0152	131.24
WATDE0153	142.98
WATDE0154	154.31
WATDE0156	NA
WATDE0157	142.97
WATDE0158	154.99
WATDE0159	NA
WATDE0160	91.59
WATDE0162	85.10
WATDE0164	NA
WATDE0165	64.16
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	142.82
WATDE0174	142.66
WATDE0175	NA
WATDE0176	114.64
WATDE0177	NA
WATDE0178	106.66
WATDE0180	134.66
WATDE0181	134.33
WATDE0182	NA
WATDE0183	137.98
WATDE0184	NA
WATDE0185	152.95
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	143.99
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	133.27
WATDE0203	79.92
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	79.28
WATDE0209	57.20
WATDE0211	NA
WATDE0212	94.45
WATDE0214	NA
WATDE0215	114.10
WATDE0216	134.64
WATDE0217	NA
WATDE0219	148.54
WATDE0220	97.61
WATDE0221	NA
WATDE0222	165.96
WATDE0223	154.65
WATDE0224	127.12
WATDE0225	NA
WATDE0227	140.79
WATDE0228	162.99
WATDE0229	86.60
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	148.28
WATDE0235	137.20
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	89.15
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	103.08
WATDE0252	NA
WATDE0253	NA
WATDE0254	113.02
WATDE0255	114.38
WATDE0257	135.81
WATDE0258	148.03
WATDE0259	150.83
WATDE0260	151.08
WATDE0262	114.00
WATDE0263	145.33
WATDE0264	NA
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	128.53
WATDE0272	141.96
WATDE0273	NA
WATDE0275	144.32
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	114.32
WATDE0282	NA
WATDE0284	NA
WATDE0285	NA
WATDE0286	149.88
WATDE0287	99.80
WATDE0288	NA
WATDE0290	158.81
WATDE0291	NA
WATDE0292	140.15
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	106.96
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	99.51
WATDE0308	100.94
WATDE0310	NA
WATDE0312	NA
WATDE0313	NA
WATDE0315	95.65
WATDE0316	NA
WATDE0317	151.97
WATDE0318	NA
WATDE0319	130.45
WATDE0321	118.61
WATDE0323	NA
WATDE0324	157.15
WATDE0325	NA
WATDE0328	73.92
WATDE0329	NA
WATDE0331	NA
WATDE0332	166.32
WATDE0333	142.15
WATDE0334	97.34
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	143.32
WATDE0344	NA
WATDE0345	NA
WATDE0346	97.81
WATDE0347	72.60
WATDE0348	NA
WATDE0350	NA
WATDE0352	NA
WATDE0353	139.66
WATDE0354	133.30
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	127.57
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	NA
WATDE0368	146.00
WATDE0369	NA
WATDE0370	NA
WATDE0371	131.98
WATDE0372	146.66
WATDE0373	NA
WATDE0374	127.96
WATDE0375	149.64
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	118.47
WATDE0382	129.48
WATDE0383	117.82
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	147.64
WATDE0396	116.32
WATDE0397	NA
WATDE0399	144.00
WATDE0401	174.97
WATDE0403	NA
WATDE0404	133.66
WATDE0405	NA
WATDE0407	135.48
WATDE0408	139.14
WATDE0409	NA
WATDE0410	NA
WATDE0411	139.54
WATDE0412	129.11
WATDE0413	63.80
WATDE0415	137.99
WATDE0417	NA
WATDE0419	NA
WATDE0420	142.04
WATDE0421	134.82
WATDE0422	134.91
WATDE0423	138.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	155.19
WATDE0430	128.21
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	79.50
WATDE0438	NA
WATDE0439	127.89
WATDE0440	136.12
WATDE0441	133.30
WATDE0442	140.97
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	132.65
WATDE0448	103.61
WATDE0449	139.98
WATDE0450	152.46
WATDE0451	NA
WATDE0452	138.11
WATDE0453	131.97
WATDE0454	147.28
WATDE0455	NA
WATDE0456	112.94
WATDE0457	NA
WATDE0460	NA
WATDE0461	NA
WATDE0462	140.09
WATDE0463	85.29
WATDE0465	99.97
WATDE0467	103.76
WATDE0469	126.34
WATDE0471	115.13
WATDE0474	163.28
WATDE0477	NA
WATDE0479	137.32
WATDE0481	159.97
WATDE0482	115.27
WATDE0484	69.25
WATDE0486	149.32
WATDE0487	141.16
WATDE0488	72.75
WATDE0489	116.96
WATDE0490	126.30
WATDE0492	105.18
WATDE0494	102.83
WATDE0496	NA
WATDE0498	94.03
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	86.53
WATDE0504	78.62
WATDE0505	NA
WATDE0507	NA
WATDE0509	155.29
WATDE0510	NA
WATDE0511	NA
WATDE0512	106.46
WATDE0513	97.13
WATDE0515	87.57
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	148.44
WATDE0522	110.32
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	106.27
WATDE0534	114.05
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	NA
WATDE0540	97.16
WATDE0541	NA
WATDE0542	NA
WATDE0543	109.44
WATDE0544	NA
WATDE0546	NA
WATDE0547	113.65
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	NA
WATDE0555	150.63
WATDE0556	128.18
WATDE0557	84.51
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	103.29
WATDE0563	NA
WATDE0565	141.61
WATDE0566	127.31
WATDE0567	NA
WATDE0568	NA
WATDE0569	153.31
WATDE0570	150.48
WATDE0571	156.71
WATDE0572	117.73
WATDE0574	156.51
WATDE0577	136.93
WATDE0578	78.33
WATDE0579	153.67
WATDE0581	NA
WATDE0582	NA
WATDE0585	148.25
WATDE0586	NA
WATDE0588	99.60
WATDE0589	114.13
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	131.44
WATDE0598	NA
WATDE0599	NA
WATDE0600	96.77
WATDE0601	NA
WATDE0602	107.84
WATDE0603	70.59
WATDE0604	147.65
WATDE0606	126.42
WATDE0608	NA
WATDE0609	NA
WATDE0610	102.31
WATDE0611	117.52
WATDE0613	124.12
WATDE0614	109.92
WATDE0615	138.98
WATDE0616	154.61
WATDE0617	NA
