IID	PH_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	137.33
WATDE0010	NA
WATDE0339	NA
WATDE0459	117.33
WATDE0476	76.33
WATDE0526	NA
WATDE0532	125.67
WATDE0576	110.67
WATDE0612	126.33
WATDE0061	NA
WATDE0668	NA
WATDE0714	102.00
WATDE0762	121.67
WATDE0801	108.33
WATDE0868	149.33
WATDE0100	57.33
WATDE1030	64.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	111.67
WATDE0002	NA
WATDE0004	125.00
WATDE0005	NA
WATDE0006	37.00
WATDE0007	NA
WATDE0008	111.00
WATDE0009	122.00
WATDE0011	NA
WATDE0012	84.00
WATDE0013	115.00
WATDE0014	NA
WATDE0015	NA
WATDE0016	99.67
WATDE0017	NA
WATDE0018	117.33
WATDE0019	NA
WATDE0020	111.33
WATDE0021	118.33
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	122.67
WATDE0026	121.33
WATDE0027	128.33
WATDE0028	NA
WATDE0029	NA
WATDE0030	NA
WATDE0031	119.67
WATDE0032	110.00
WATDE0033	147.33
WATDE0034	112.33
WATDE0035	NA
WATDE0036	134.00
WATDE0037	141.67
WATDE0038	NA
WATDE0040	NA
WATDE0041	115.67
WATDE0042	61.00
WATDE0043	96.67
WATDE0044	NA
WATDE0045	75.33
WATDE0046	135.67
WATDE0047	144.33
WATDE0048	NA
WATDE0049	50.33
WATDE0050	NA
WATDE0051	117.00
WATDE0052	NA
WATDE0053	134.67
WATDE0054	127.33
WATDE0055	124.33
WATDE0056	118.67
WATDE0057	110.33
WATDE0058	132.00
WATDE0059	NA
WATDE0060	51.67
WATDE0062	119.33
WATDE0063	NA
WATDE0064	105.00
WATDE0065	41.33
WATDE0066	NA
WATDE0067	114.33
WATDE0068	115.67
WATDE0069	NA
WATDE0070	135.33
WATDE0071	134.33
WATDE0072	130.67
WATDE0073	NA
WATDE0074	138.67
WATDE0075	115.00
WATDE0076	66.33
WATDE0077	135.67
WATDE0078	125.33
WATDE0079	49.00
WATDE0080	120.00
WATDE0081	NA
WATDE0082	100.00
WATDE0083	119.33
WATDE0084	70.00
WATDE0085	53.00
WATDE0086	109.00
WATDE0087	127.33
WATDE0088	87.67
WATDE0089	NA
WATDE0090	135.33
WATDE0091	124.00
WATDE0092	139.67
WATDE0093	104.00
WATDE0094	113.33
WATDE0095	110.00
WATDE0096	129.33
WATDE0097	124.67
WATDE0098	130.67
WATDE0099	122.33
WATDE0101	97.00
WATDE0102	90.00
WATDE0103	61.33
WATDE0104	NA
WATDE0105	125.67
WATDE0106	73.67
WATDE0107	113.00
WATDE0108	47.67
WATDE0109	66.33
WATDE0110	133.00
WATDE0111	126.33
WATDE0112	NA
WATDE0113	141.67
WATDE0114	120.33
WATDE0115	NA
WATDE0116	111.67
WATDE0117	115.00
WATDE0118	119.67
WATDE0119	45.67
WATDE0120	NA
WATDE0121	120.33
WATDE0122	136.67
WATDE0123	NA
WATDE0124	NA
WATDE0126	NA
WATDE0127	147.33
WATDE0129	122.33
WATDE0131	127.67
WATDE0133	138.67
WATDE0134	NA
