IID	Mat_Shenzhen_2022_Natural_50percnet
WATDE0181	161
WATDE0182	168
WATDE0183	143
WATDE0184	182
WATDE0185	142
WATDE0187	NA
WATDE0188	170
WATDE0190	168
WATDE0191	168
WATDE0192	NA
WATDE0194	NA
WATDE0195	168
WATDE0196	NA
WATDE0198	185
WATDE0199	NA
WATDE0200	NA
WATDE0202	168
WATDE0203	187
WATDE0204	187
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	168
WATDE0212	NA
WATDE0214	NA
WATDE0215	125
WATDE0216	172
WATDE0217	171
WATDE0219	157
WATDE0220	161
WATDE0221	147
WATDE0222	142
WATDE0223	100
WATDE0224	109
WATDE0225	NA
WATDE0227	157
WATDE0228	145
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	185
WATDE0234	173
WATDE0235	168
WATDE0236	137
WATDE0237	164
WATDE0238	187
WATDE0239	191
WATDE0241	NA
WATDE0242	172
WATDE0243	NA
WATDE0244	173
WATDE0246	172
WATDE0247	184
WATDE0248	NA
WATDE0249	NA
WATDE0250	187
WATDE0252	NA
WATDE0253	173
WATDE0254	183
WATDE0255	183
WATDE0257	153
WATDE0258	143
WATDE0259	144
WATDE0260	141
WATDE0262	127
WATDE0263	143
WATDE0264	107
WATDE0266	182
WATDE0268	181
WATDE0270	NA
WATDE0271	144
WATDE0272	135
WATDE0273	170
WATDE0275	107
WATDE0276	153
WATDE0277	NA
WATDE0278	145
WATDE0280	172
WATDE0281	173
WATDE0282	NA
WATDE0284	171
WATDE0285	161
WATDE0286	149
WATDE0287	183
WATDE0288	171
WATDE0290	162
WATDE0291	NA
WATDE0292	141
WATDE0293	NA
WATDE0294	182
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	173
WATDE0303	NA
WATDE0304	167
WATDE0305	173
WATDE0306	170
WATDE0308	NA
WATDE0310	171
WATDE0312	173
WATDE0313	161
WATDE0315	165
WATDE0316	186
WATDE0317	158
WATDE0318	151
WATDE0319	146
WATDE0321	172
WATDE0323	NA
WATDE0324	132
WATDE0325	NA
WATDE0328	191
WATDE0329	168
WATDE0331	NA
WATDE0332	164
WATDE0333	162
WATDE0334	NA
WATDE0335	NA
WATDE0336	182
WATDE0337	172
WATDE0340	NA
WATDE0342	189
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	184
WATDE0347	187
WATDE0348	NA
WATDE0350	174
WATDE0352	NA
WATDE0353	170
WATDE0354	168
WATDE0355	NA
WATDE0356	169
WATDE0358	181
WATDE0359	172
WATDE0361	NA
WATDE0363	163
